data,Chegadas
1989-01-01,291566.0
1989-02-01,197348.0
1989-03-01,149001.0
1989-04-01,84867.0
1989-05-01,69293.0
1989-06-01,66838.0
1989-07-01,87054.0
1989-08-01,81535.0
1989-09-01,62629.0
1989-10-01,85786.0
1989-11-01,102207.0
1989-12-01,124758.0
1990-01-01,159677.0
1990-02-01,143171.0
1990-03-01,82008.0
1990-04-01,76761.0
1990-05-01,59930.0
1990-06-01,44946.0
1990-07-01,92569.0
1990-08-01,75260.0
1990-09-01,69360.0
1990-10-01,89545.0
1990-11-01,88378.0
1990-12-01,109460.0
1991-01-01,209590.0
1991-02-01,119275.0
1991-03-01,106269.0
1991-04-01,78601.0
1991-05-01,64016.0
1991-06-01,62497.0
1991-07-01,93996.0
1991-08-01,72580.0
1991-09-01,60951.0
1991-10-01,96047.0
1991-11-01,104092.0
1991-12-01,123984.0
1992-01-01,276049.0
1992-02-01,192628.0
1992-03-01,100415.0
1992-04-01,109479.0
1992-05-01,80243.0
1992-06-01,79662.0
1992-07-01,115683.0
1992-08-01,93824.0
1992-09-01,81560.0
1992-10-01,100713.0
1992-11-01,110511.0
1992-12-01,134091.0
1993-01-01,323515.0
1993-02-01,256369.0
1993-03-01,142835.0
1993-04-01,108956.0
1993-05-01,62743.0
1993-06-01,51523.0
1993-07-01,85307.0
1993-08-01,87463.0
1993-09-01,88219.0
1993-10-01,109788.0
1993-11-01,99473.0
1993-12-01,155749.0
1994-01-01,387604.0
1994-02-01,246046.0
1994-03-01,189297.0
1994-04-01,114747.0
1994-05-01,91521.0
1994-06-01,85086.0
1994-07-01,124858.0
1994-08-01,97957.0
1994-09-01,99203.0
1994-10-01,129738.0
1994-11-01,128527.0
1994-12-01,158717.0
1995-01-01,323548.0
1995-02-01,233949.0
1995-03-01,177174.0
1995-04-01,151306.0
1995-05-01,113099.0
1995-06-01,104082.0
1995-07-01,135093.0
1995-08-01,134755.0
1995-09-01,111161.0
1995-10-01,148404.0
1995-11-01,155541.0
1995-12-01,203304.0
1996-01-01,391270.0
1996-02-01,313061.0
1996-03-01,279834.0
1996-04-01,172621.0
1996-05-01,113440.0
1996-06-01,169651.0
1996-07-01,223315.0
1996-08-01,216947.0
1996-09-01,201255.0
1996-10-01,203763.0
1996-11-01,163068.0
1996-12-01,217283.0
